RankMethod,down,ydstogo,yards_gained,first_down_rush,first_down_pass,first_down_penalty,fourth_down_failed,interception,safety,fumble_lost,play_id
Touchdown,1.0,10,61,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3514
Touchdown,2.0,2,61,0.0,1.0,0.0,0.0,0.0,0.0,0.0,377
Touchdown,1.0,10,60,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1753
Touchdown,3.0,5,59,0.0,1.0,0.0,0.0,0.0,0.0,0.0,973
Touchdown,1.0,10,58,0.0,1.0,0.0,0.0,0.0,0.0,0.0,354
Touchdown,2.0,4,58,0.0,1.0,0.0,0.0,0.0,0.0,0.0,507
Touchdown,2.0,18,57,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1468
Touchdown,1.0,10,56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1387
Touchdown,3.0,6,55,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1120
Touchdown,3.0,6,55,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2545
Touchdown,2.0,10,55,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3905
Touchdown,2.0,3,55,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1726
Touchdown,2.0,10,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2125
Touchdown,2.0,10,54,0.0,1.0,0.0,0.0,0.0,0.0,0.0,834
Touchdown,1.0,10,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2726
Touchdown,1.0,10,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,971
Touchdown,3.0,8,53,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2372
Touchdown,2.0,12,53,0.0,1.0,0.0,0.0,0.0,0.0,0.0,196
Touchdown,1.0,10,53,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1602
Touchdown,1.0,10,53,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1292
Touchdown,1.0,10,53,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2756
Touchdown,3.0,9,52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1886
Touchdown,1.0,20,52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,946
Touchdown,1.0,10,52,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3196
Touchdown,1.0,10,52,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2318
Touchdown,3.0,17,51,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1274
Touchdown,2.0,10,51,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3196
Touchdown,1.0,10,51,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3657
Touchdown,2.0,6,51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1625
Touchdown,4.0,2,50,0.0,1.0,0.0,0.0,0.0,0.0,0.0,610
Touchdown,3.0,6,50,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3051
Touchdown,2.0,10,50,0.0,1.0,0.0,0.0,0.0,0.0,0.0,453
Touchdown,1.0,10,50,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2858
Touchdown,2.0,10,49,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3196
Touchdown,3.0,4,49,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1419
Touchdown,1.0,10,49,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1346
Touchdown,1.0,10,49,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3806
Touchdown,1.0,10,49,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1568
Touchdown,1.0,10,49,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2405
Touchdown,3.0,7,48,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2870
Touchdown,1.0,10,48,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2528
Touchdown,4.0,5,47,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3816
